Year,Month,CS_Index
2000,January,100.589696698974
2000,February,101.692479314291
2000,March,102.783828812065
2000,April,103.996444254038
2000,May,105.25281840306299
2000,June,106.402523807612
2000,July,107.134019461609
2000,August,107.86143822743901
2000,September,108.610140186362
2000,October,109.486858891926
2000,November,110.571707485592
2000,December,111.80087186938101
2001,January,113.05349773422199
2001,February,114.126857881259
2001,March,115.085195751287
2001,April,115.840550928508
2001,May,116.30074285312901
2001,June,116.899749967955
2001,July,117.49660114785499
2001,August,118.24522909662201
2001,September,119.027952923142
2001,October,119.694048519856
2001,November,120.274743532503
2001,December,120.672264238783
2002,January,121.360320819152
2002,February,122.19082092305
2002,March,123.321470124759
2002,April,124.507760706156
2002,May,125.92446594751101
2002,June,127.38847361594999
2002,July,128.879586646824
2002,August,130.307277309221
2002,September,131.526921334076
2002,October,132.84663367872102
2002,November,134.096970036912
2002,December,135.405266340119
2003,January,136.466802057397
2003,February,137.452827180569
2003,March,138.378810168233
2003,April,139.250037320152
2003,May,140.14698719367598
2003,June,140.919713035376
2003,July,142.11887769485202
2003,August,143.551841523116
2003,September,145.26127944447398
2003,October,146.990469091218
2003,November,148.822939630222
2003,December,150.758996442435
2004,January,152.62510699025896
2004,February,154.53652047276302
2004,March,156.918184819939
2004,April,159.35958453318898
2004,May,161.751120911238
2004,June,164.305450969794
2004,July,166.387185555542
2004,August,168.071587413446
2004,September,169.65433092437002
2004,October,171.297042910077
2004,November,173.086939287604
2004,December,175.086155868844
2005,January,177.54612406266997
2005,February,180.249458173457
2005,March,183.18786409654098
2005,April,185.514582356726
2005,May,187.54965754535198
2005,June,189.53032062497
2005,July,191.37931770061797
2005,August,193.367562500858
2005,September,195.620163009478
2005,October,197.88303170587105
2005,November,200.14835177600398
2005,December,202.177305333203
2006,January,203.771465229212
2006,February,205.36299960764703
2006,March,206.146277532849
2006,April,206.655904103739
2006,May,206.509585706927
2006,June,205.807434313017
2006,July,204.93651474190705
2006,August,204.111962886199
2006,September,203.585517316204
2006,October,203.549391980068
2006,November,203.652885754475
2006,December,203.47530195479698
2007,January,203.743068220267
2007,February,204.07108235383495
2007,March,203.94828738290198
2007,April,202.880769101211
2007,May,201.03339552945096
2007,June,198.847374294492
2007,July,196.84456663630903
2007,August,194.89337151927398
2007,September,193.124622773835
2007,October,190.979182046726
2007,November,187.90462484786
2007,December,185.09969258686402
2008,January,182.14041556578
2008,February,178.551418972528
2008,March,175.11508136796002
2008,April,172.442656391208
2008,May,169.56020891409
2008,June,167.177833594812
2008,July,164.399616721124
2008,August,162.116301218011
2008,September,159.11395565908
2008,October,156.295584078248
2008,November,153.658178390765
2008,December,150.727242380294
2009,January,147.716245668781
2009,February,145.61430535451998
2009,March,142.72227989200198
2009,April,141.560460928351
2009,May,140.84143884193702
2009,June,141.291104482572
2009,July,142.249363101725
2009,August,143.476346874836
2009,September,144.070595582506
2009,October,144.793958326313
2009,November,145.471956534513
2009,December,146.245601544011
2010,January,146.93099035096
2010,February,146.916596511401
2010,March,146.234762557583
2010,April,147.063002803647
2010,May,147.269747215159
2010,June,147.040507521411
2010,July,146.403583552675
2010,August,145.54109318499098
2010,September,144.55053028500402
2010,October,143.62256140781201
2010,November,143.277600297575
2010,December,142.963019845768
2011,January,142.58799289301
2011,February,142.05152679942802
2011,March,140.436581548952
2011,April,140.69474197739999
2011,May,140.427581146461
2011,June,140.359111892613
2011,July,140.318436255751
2011,August,140.04260274592698
2011,September,139.414904319326
2011,October,138.65212144174
2011,November,137.934624024611
2011,December,137.365304819237
2012,January,137.14298545671102
2012,February,137.01723595344401
2012,March,136.647413597237
2012,April,137.889395802844
2012,May,139.458379923468
2012,June,141.01816221167
2012,July,141.956200466348
2012,August,142.917358248111
2012,September,143.816953925505
2012,October,144.79575782792298
2012,November,145.799303015636
2012,December,147.099179548642
2013,January,148.324657868007
2013,February,149.598046678454
2013,March,151.04414603254
2013,April,153.881233456894
2013,May,156.017242079509
2013,June,157.8321027922
2013,July,159.59351092244802
2013,August,161.447965873236
2013,September,163.272645120912
2013,October,164.792607508656
2013,November,166.002848239766
2013,December,166.90193434731302
2014,January,167.839566556171
2014,February,168.50797462966102
2014,March,169.389643355758
2014,April,169.958237384263
2014,May,170.244969899236
2014,June,170.530467202785
2014,July,170.61707513943702
2014,August,170.727411655129
2014,September,171.45717939341998
2014,October,172.388098724617
2014,November,173.164191541506
2014,December,174.202409482991
2015,January,175.03053543730599
2015,February,176.311923546211
2015,March,177.379574285904
2015,April,177.745371825982
2015,May,178.294522850319
2015,June,178.826829754854
2015,July,179.34181134224602
2015,August,179.579180300201
2015,September,180.87851943619802
2015,October,181.892354702837
2015,November,183.00257005956001
2015,December,183.85613341456403
2016,January,184.671856973107
2016,February,185.355023613804
2016,March,186.780497172633
2016,April,187.002369049523
2016,May,187.457575743483
2016,June,188.04395379621602
2016,July,188.648937282627
2016,August,188.88704106628003
2016,September,190.28103043059104
2016,October,191.214660514607
2016,November,192.465854577366
2016,December,193.779973202243
2017,January,195.020530248766
2017,February,195.87963818404998
2017,March,197.62466579998198
2017,April,197.444841252162
2017,May,198.12661686107498
2017,June,198.725570828245
2017,July,199.76036652889096
2017,August,199.98458559308102
2017,September,202.13316163329603
2017,October,203.357326314045
2017,November,204.695198008587
2017,December,205.896186820672
2018,January,207.31726376777303
2018,February,208.785256759563
2018,March,210.85794595266202
2018,April,210.39437272627399
2018,May,210.883718244763
2018,June,211.324396545175
2018,July,211.60752925747397
2018,August,211.112327786207
2018,September,212.68155661947398
2018,October,213.479024242584
2018,November,213.94458433374402
2018,December,214.311402320529
2019,January,214.506651819387
2019,February,214.927763603927
